series_id,fund_name,lei,isin,isin_source,figi,share_class_figi,figi_ticker,class_id,class_name,resolution
S000075157,Dimensional Emerging Markets Value ETF,549300NVQB3X92GMEB29,US25434V7405,SEC-NPORT,BBG017158FN3,BBG017158GJ6,DFEV,,,unresolved
S000075169,FIS Christian Stock Fund,549300T4B2RKIWZ2L947,US78433H2040,GLEIF,,,,,,unresolved
S000075196,Innovator Laddered Allocation Buffer ETF,549300O82VP7WXK7P688,US45783Y7563,GLEIF,BBG0154NXWC2,BBG0154NXX67,BUFB,,,unresolved
S000075202,Harbor Commodity All-Weather Strategy ETF,549300C7QT874PHU5G85,US41151J5056,SEC-NPORT,BBG014VVQM55,BBG014VVQN17,HGER,,,unresolved
S000075203,iShares U.S. Long Credit Bond Index Fund,549300KVJ2QNPSCQ7553,US09260J6257,SEC-NPORT,BBG0174B7KS2,BBG0174B7KZ4,BLCBX,,,unresolved
S000075204,iShares U.S. Intermediate Credit Bond Index Fund,549300O3MDOP8OY9ZD36,US09260J6174,SEC-NPORT,BBG01747Z095,BBG01747Z0G7,BICBX,,,unresolved
S000075205,iShares U.S. Long Government Bond Index Fund,5493000M7EEG1SN8TY84,US09260J5911,SEC-NPORT,BBG0174B7BQ4,BBG0174B7BT1,BLGBX,,,unresolved
S000075206,iShares U.S. Intermediate Government Bond Index Fund,549300ZFZHEO4YPOXJ51,US09260J5838,SEC-NPORT,BBG01749YYT6,BBG01749YYV3,BIGBX,,,unresolved
S000075207,iShares U.S. Securitized Bond Index Fund,549300IX2EU4EA7H6U85,US09260J5754,SEC-NPORT,BBG0174B7X86,BBG0174B7XD0,BISBX,,,unresolved
S000075330,Holbrook Structured Income Fund,549300VN9LSTDZVMEG10,US90214Q6263,SEC-NPORT,BBG015Y3X435,BBG015Y3X444,HOSIX,,,unresolved
S000075353,Pacer BlueStar Digital Enterainment ETF,54930066GYIQUFSRBH07,US69374H3949,GLEIF,BBG016PG2349,BBG016PG2438,ODDS,,,unresolved
S000075354,Pacer BlueStar Engineering the Future ETF,549300H5M119HSYMDN19,US69374H4103,GLEIF,BBG016PG3268,BBG016PG3311,BULD,,,unresolved
S000075439,Innovator Buffer Step-Up Strategy ETF,54930078QW6AZ4F1V667,US45783Y7316,GLEIF,BBG015LHC1B8,BBG015LHC2K6,BSTP,,,unresolved
S000075440,Innovator Power Buffer Step-Up Strategy ETF,549300O4MGRW88IZI604,US45783Y7233,GLEIF,BBG015LHHNK5,BBG015LHHPD8,PSTP,,,unresolved
S000075444,FS Multi-Strategy Alternatives Fund,549300E0668BUMX3FG88,US3026911004,GLEIF,,,,,,unresolved
S000075472,iShares iBonds 2028 Term High Yield and Income ETF,549300RL2Z2AR3IFXI07,US46436E3870,SEC-NPORT,BBG015SSQP29,BBG015SSQPY4,IBHH,,,unresolved
S000075473,iShares iBonds 2029 Term High Yield and Income ETF,549300WQN5UVKD58WM63,US46436E3797,SEC-NPORT,BBG015STX836,BBG015STX8Y2,IBHI,,,unresolved
S000075489,Small Cap Dividend Fund,549300AHNV0HOM50BA22,US02508F6209,SEC-NPORT,BBG015QPVMX4,BBG015QPVMY3,AMALX,,,unresolved
S000075489,Small Cap Dividend Fund,549300AHNV0HOM50BA22,US02508F6795,SEC-NPORT,BBG015QPVLF6,BBG015QPVLG5,AMAEX,,,unresolved
S000075560,NYLI Winslow Large Cap Growth ETF,5493003N1JWBCY2HCE61,US45409F7693,SEC-NPORT,BBG018CD2V80,BBG018CD2W33,IWLG,,,unresolved
S000075715,VanEck Commodity Strategy ETF,549300N3S8T54KOP4G25,US92189H7715,SEC-NPORT,BBG01C3FR5N9,BBG01C3FR6H4,PIT,,,unresolved
S000075788,BrandywineGLOBAL-Dynamic US Large Cap Value ETF,254900HJUU3BO06KS871,US35473P4625,SEC-NPORT,BBG01B8C7YW2,BBG01B8C7ZT3,DVAL,,,unresolved
S000075916,Pacer Data and Digital Revolution ETF,54930031IJF6MB0L3Z91,US69374H3865,GLEIF,BBG017ZLXY52,BBG017ZLXZ04,TRFK,,,unresolved
S000075917,Pacer Industrials and Logistics ETF,5493007FUHAK57BILB80,US69374H3782,GLEIF,BBG017ZLG5Q1,BBG017ZLG6K5,SHPP,,,unresolved
S000075959,Carillon Chartwell Real Income Fund,549300JKHSVQGSWY2E34,US16140T2024,GLEIF,BBG01GJ44H11,BBG01GJ44H39,BERIX,,,unresolved
S000076002,Calvert Mortgage Access Fund,549300O2JSVSVL35QD76,US1315822312,SEC-NPORT,BBG017157LP9,BBG017157LQ8,CMMIX,,,unresolved
S000076003,Calvert Focused Value Fund,549300Z5XUUT6OW4YT43,US1315821322,SEC-NPORT,,,,,,unresolved
S000076132,JPMorgan Nasdaq Equity Premium Income ETF,549300QY7QH8W9EILZ23,US46654Q2030,GLEIF,BBG016NKZDL5,BBG016NKZFF7,JEPQ,,,unresolved
S000076294,BRIDGE BUILDER TAX MANAGED LARGE CAP FUND,549300S7S0KGMEYB8Z21,US10803R8503,GLEIF,BBG016C6D3W2,BBG016CC8Q81,BBTLX,,,unresolved
S000076295,BRIDGE BUILDER TAX MANAGED SMALL/MID CAP FUND,5493001YUVQBRKVIWP21,US10803R8438,GLEIF,BBG016C6D4D1,BBG016CCB324,BBTSX,,,unresolved
S000076296,BRIDGE BUILDER TAX MANAGED INTERNATIONAL EQUITY FUND,5493008VKFKSRCX01S84,US10803R8354,GLEIF,BBG016C6D3G0,BBG016CC63K0,BBTIX,,,unresolved
S000076398,Hartford Schroders International Contrarian Value Fund,549300R19QUCVQS2NU59,US4166417695,SEC-NPORT,BBG01J3J7G18,BBG01J3NTF44,HFSFX,,,unresolved
S000076660,Touchstone Ultra Short Income ETF,54930086P85NGSFSP760,US89157W3016,SEC-NPORT,BBG0193VFQT2,BBG0193VFRN6,TUSI,,,unresolved
S000076685,iShares iBonds Dec 2032 Term Corporate ETF,549300ZCXA0SQGYFIX78,US46436E3128,SEC-NPORT,BBG018GV5VS1,BBG018GV5WV5,IBDX,,,unresolved
S000076777,iShares 20+ Year Treasury Bond BuyWrite Strategy ETF,549300YMOD8GSUKQT287,US46436E3383,SEC-NPORT,BBG01958XXM3,BBG01958XYG8,TLTW,,,unresolved
S000076779,iShares High Yield Corporate Bond BuyWrite Strategy ETF,549300EGWHOABJHW0Z29,US46436E3201,SEC-NPORT,BBG01959G7Y4,BBG01959G8T8,HYGW,,,unresolved
S000076784,Simplify Bitcoin Strategy PLUS Income ETF,549300YFCOWIQDSINQ71,US82889N6739,GLEIF,BBG019WKMY00,BBG019WKMYV6,MAXI,,,unresolved
S000076800,AST Target Maturity Central Portfolio,549300KG2B6502NPJE83,US00771J4774,GLEIF,,,,,,unresolved
S000076802,1290 Essex Small Cap Growth Fund,5493001OKZ2YRG3FGX92,US68246Y7004,SEC-NPORT,BBG018RBPP77,BBG018SW27H4,ESCJX,,,unresolved
S000076864,LVIP Channing Small Cap Value Fund,549300MF4V79FQEJZL75,US53500L1237,SEC-NPORT,,,,,,unresolved
